case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_m,target_x_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,max_abs_commanded_gimbal_deg,max_abs_throttle_tracking_error,navigation_rejection_count,rms_x_estimation_error_m,rms_z_estimation_error_m,rms_vx_estimation_error_mps,rms_vz_estimation_error_mps,rms_theta_estimation_error_deg,ekf_mean_nees,ekf_p95_nees,ekf_x_3sigma_coverage,ekf_z_3sigma_coverage,ekf_vx_3sigma_coverage,ekf_vz_3sigma_coverage,ekf_theta_3sigma_coverage,ekf_bax_3sigma_coverage,ekf_baz_3sigma_coverage,ekf_bg_3sigma_coverage,optimizer_replan_count_from_rows,optimizer_fallback_fraction,optimizer_tilt_active_fraction,optimizer_thrust_active_fraction,optimizer_glideslope_active_fraction,optimizer_max_constraint_violation,optimizer_min_tilt_margin_deg,optimizer_min_thrust_margin_mps2,optimizer_min_glideslope_margin_m,ekf_rejected_updates,ekf_gps_accepted_updates,ekf_gps_rejected_updates,ekf_mean_gps_nis,ekf_mean_gps_normalized_nis,ekf_radar_accepted_updates,ekf_radar_rejected_updates,ekf_mean_radar_nis,ekf_mean_radar_normalized_nis,ekf_attitude_accepted_updates,ekf_attitude_rejected_updates,ekf_mean_attitude_nis,ekf_mean_attitude_normalized_nis,optimizer_solve_count,optimizer_converged_solve_count,optimizer_accepted_solve_count,optimizer_fallback_count,optimizer_convergence_rate,optimizer_acceptance_rate,optimizer_mean_iterations,optimizer_maximum_observed_violation,failure_mode,guidance_mode,navigation_mode,actuator_mode
0,1.021747048921407,0.9815693723646981,0.8599579726592079,0.9670791396028174,-3.7283639251913243,21.711472265787435,-1.0013969048126927,-57.4985453560074,0.6294058600313623,True,42.719999999999445,0.0,-1.4857304102943802,0.0,-1.4857304102943802,0.5266336400832292,-0.7580449990463897,0.9230250329468607,3917.3115651014596,2953.674041451428,0.6294058600313623,0.5033420262681573,0.9134318385054306,0.7807842129907692,2,0.18470343642969317,0.07760616829568023,0.05412989678295833,0.046799194303051746,0.029883569263667184,5.6308833784772245,10.956599836416082,1.0,0.9962616822429906,1.0,1.0,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,4.680466452100518e-05,7.111203437389153,18.784361045565333,1.9999446584884881,2,213,0,3.9712427211958445,0.9928106802989611,427,1,1.0352718430169983,1.0352718430169983,533,1,0.9678508604919411,0.9678508604919411,21,16,21,0,0.7619047619047619,1.0,72.14285714285714,4.680466452100518e-05,success,predictive,ekf,flight_like
1,1.0044274954929107,1.00719209587308,0.8919650454777588,0.8880330745260027,-9.453676896133793,15.452348469176286,-1.7662076855345763,-57.741115679387576,2.047060593257826,True,44.31999999999941,0.0,-0.22256031501035345,0.0,-0.22256031501035345,0.05647454193226258,-0.8178599156514151,0.8198074258725635,4066.6689189849058,2983.6757521266554,2.047060593257826,0.835748004047305,1.1705785269067528,0.7132507299669584,2,0.13843895336221895,0.07423363623698451,0.054017648724758074,0.049434044856129046,0.034898629842073675,5.57419882470689,10.25369574731766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,5.040223641117336e-06,7.292328984986388,18.00786058722089,1.9999584772827994,2,221,0,3.975705088531519,0.9939262721328798,443,1,0.9890795800706889,0.9890795800706889,553,1,0.9812796158819768,0.9812796158819768,21,19,21,0,0.9047619047619048,1.0,69.47619047619048,5.040223641117336e-06,success,predictive,ekf,flight_like
2,1.0101013398003098,0.9633707345339922,1.005949241827155,1.123799373822537,-3.233323334683366,15.961074597566679,-1.728795532209996,-59.063478208349814,1.552205241539665,True,45.19999999999939,0.0,-0.9024951709144493,0.0,-0.9024951709144493,0.16916695464255915,-0.739408283653852,0.7585130641452216,4086.691179072295,2656.903962665652,1.5522052415396652,0.5135878665465677,1.0296963533126804,0.6771444751130513,2,0.17821718146294485,0.05546879105585412,0.05645449503443491,0.05131942207746777,0.0371896880999013,5.711317559051946,11.53596318340401,1.0,1.0,0.9964664310954063,1.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,8.989365491629542e-05,7.444447693649497,18.450230783790648,1.9999752277921243,2,226,0,3.942637492326262,0.9856593730815655,452,1,1.1035494217990787,1.1035494217990787,564,1,1.0523195723889602,1.0523195723889602,20,18,20,0,0.9,1.0,63.75,8.989365491629542e-05,success,predictive,ekf,flight_like
3,0.9936716677562735,0.9720821924047524,0.9574644735103708,0.9003265410908231,5.242382659854908,9.41532869785138,-2.3568664402854704,-56.71133815624142,-0.02637510328067364,True,44.9599999999994,0.0,0.9509181168469641,0.0,0.9509181168469641,-0.10375839646747152,-0.7449079075815963,0.7520994585924743,4066.024127732613,2738.551219100653,1.2087963539481454,0.7571377244435368,1.3144294153006844,0.6800059578400789,4,0.12678664842755466,0.08385181231625109,0.04831423177184236,0.04817122087673,0.029007688293778727,4.89612541583984,9.231695381999298,1.0,1.0,1.0,0.9946714031971581,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,2.3149708283654036e-05,6.495953070224955,18.065958379006425,1.9999051463596573,4,224,0,3.6615291254293765,0.9153822813573441,447,3,0.9592006165044309,0.9592006165044309,561,1,0.8591391276533918,0.8591391276533918,21,12,21,0,0.5714285714285714,1.0,78.0,2.3149708283654036e-05,success,predictive,ekf,flight_like
4,0.9986939999118145,0.9567046241280568,1.0639449943462516,1.123233731720547,1.3778000540093096,32.492909137068914,-3.9073025034289772,-58.58559165922606,-0.27469754922308565,True,44.159999999999414,0.0,0.7624859958916151,0.0,0.7624859958916151,-0.25199155457502415,-0.7188447390394868,0.7617332226061071,3998.7827963986238,2698.149572497776,1.6636661675946698,0.9896802163024945,1.2644291378513268,0.6888756955024552,3,0.16615748485154364,0.06744648278634491,0.04878940589887155,0.0506461299162025,0.03265359805312032,5.3691703014955285,11.722834473495054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,0.0,0.0,0.0,0.0,4.163634673659544e-05,6.148933059476551,18.199806758145677,1.999895447789261,3,220,0,3.845743738801818,0.9614359347004545,440,2,0.9325388430893583,0.9325388430893583,551,1,0.880541854170476,0.880541854170476,20,13,20,0,0.65,1.0,78.8,4.163634673659544e-05,success,predictive,ekf,flight_like
5,1.0099549507844119,0.9866424140870823,0.9300879360964406,0.917221234227611,5.85917459652002,4.186085132664852,-1.0679695003166303,-57.70391138371572,1.5109997910405326,True,44.31999999999941,0.0,-0.22705654006464132,0.0,-0.22705654006464132,0.011796392276529987,-0.7223216055221391,0.722417923832751,4042.953604987466,2863.5432936221114,1.5109997910405326,0.7049522293986391,1.1422542544242804,0.684268698723148,3,0.1339442825670022,0.07197996125548625,0.04912781714943959,0.045253264983473845,0.02938152822810201,6.222832621386629,9.725325319779648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,1.368087606579138e-05,7.172049647472288,18.361254116759806,1.9999185706282772,3,221,0,3.948631821904357,0.9871579554760892,442,2,0.9691358955717619,0.9691358955717619,553,1,0.9354409686925022,0.9354409686925022,21,20,21,0,0.9523809523809523,1.0,73.0952380952381,1.368087606579138e-05,success,predictive,ekf,flight_like
6,1.0128465944004987,0.9928738911321268,0.8795240608487201,0.9428708163448996,11.189465775597789,14.38895678711847,-2.638977907730319,-57.52116052808496,1.0081105308167189,True,44.9599999999994,0.0,0.3497616489389006,0.0,0.3497616489389006,-0.07775436964920909,-0.7776332258660582,0.7815108290806966,4095.5051304468107,2854.6121074780785,1.2425041922267142,0.5379997335767,0.9368607413487194,0.6774045941597475,1,0.19873086970947612,0.08864579882246748,0.052406967290338786,0.05304122407999922,0.031829989948000015,5.842140478324068,12.163560258556398,1.0,0.9946714031971581,1.0,1.0,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,2.887471339363401e-05,6.785304281939399,18.403986892058235,1.999951633475908,1,224,0,4.101839366733094,1.0254598416832734,449,1,0.9985803134498468,0.9985803134498468,562,0,1.030540594958942,1.030540594958942,21,19,21,0,0.9047619047619048,1.0,66.52380952380952,2.887471339363401e-05,success,predictive,ekf,flight_like
7,1.0033050995003159,0.9996992877613604,1.0520740175377399,1.087976292406594,-5.920294832528587,21.751409480140005,-3.9768900146095776,-57.52862963096395,1.7055160528138562,True,45.59999999999938,0.0,0.22514324581067907,0.0,0.22514324581067907,-0.16590014081613946,-0.7468671466463797,0.7650708408131365,4147.11115098518,2850.7838633443425,1.8125529324511063,0.5300903834818738,0.8731794992816128,0.6951935833890757,2,0.11798513593142004,0.07361044265171174,0.05074726074258587,0.05489381201882005,0.03147180017565437,4.605153196043176,9.301872009470726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,3.965595965382818e-05,6.096901869258186,18.06324516928892,1.999894018455521,2,228,0,3.941299482983349,0.9853248707458373,456,1,0.9504239235456454,0.9504239235456454,569,1,0.9494523801703426,0.9494523801703426,21,13,21,0,0.6190476190476191,1.0,75.71428571428571,3.965595965382818e-05,success,predictive,ekf,flight_like
8,0.9846563702057628,1.0202694431133803,1.140669602884437,1.0908796753748982,17.53061580838028,10.195021405724749,-2.5425435585724387,-56.062634465871035,1.5097453360783495,True,46.879999999999356,0.0,2.0940343503488577,0.0,2.0940343503488577,-0.0907724179853546,-0.6728162857842421,0.6789119134935039,4251.943314541884,2889.942787251777,1.5097453360783495,0.6140776467477206,0.975934456283913,0.6948912808347436,2,0.14040140714022123,0.06142772994718495,0.05304386149257365,0.04064080604609862,0.03147817910434433,5.451648266783079,10.853967783639813,1.0,1.0,1.0,1.0,0.9948892674616695,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,4.263744438048889e-05,6.704244997075966,17.458911113392077,1.9999467633798362,2,234,0,3.78132727816783,0.9453318195419576,467,2,1.0663158038918112,1.0663158038918112,586,0,0.9018090258423562,0.9018090258423562,21,18,21,0,0.8571428571428571,1.0,75.57142857142857,4.263744438048889e-05,success,predictive,ekf,flight_like
9,1.027369078671394,0.9622609419122248,0.9808954531735281,0.9389898190867925,3.0281709543068835,12.46119788535345,-5.113395289844556,-53.222743028344844,1.240349912444548,True,44.559999999999405,0.0,-0.8624895163659335,0.0,-0.8624895163659335,-0.561411936869322,-0.7585245308188113,0.9436857669337084,3999.2947459022835,2736.5318474832893,2.9926767712477447,0.9968084608712044,1.3175093653468641,0.6459319107380285,4,0.1949596755614521,0.08079374639081907,0.05565654145164483,0.053916657906982635,0.0396999344533339,6.609849981907445,12.350150855321145,1.0,0.989247311827957,1.0,1.0,1.0,1.0,1.0,1.0,21,0.0,0.0,0.0,0.0,4.287755245968583e-05,4.551576830146881,19.160807201614553,0.7894418693926131,4,222,0,3.954439578412896,0.988609894603224,445,1,0.8626557169044292,0.8626557169044292,554,3,0.8951971479922709,0.8951971479922709,21,12,21,0,0.5714285714285714,1.0,76.95238095238095,4.287755245968583e-05,success,predictive,ekf,flight_like
