case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_m,target_x_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,max_abs_commanded_gimbal_deg,max_abs_throttle_tracking_error,navigation_rejection_count,rms_x_estimation_error_m,rms_z_estimation_error_m,rms_vx_estimation_error_mps,rms_vz_estimation_error_mps,rms_theta_estimation_error_deg,ekf_mean_nees,ekf_p95_nees,ekf_x_3sigma_coverage,ekf_z_3sigma_coverage,ekf_vx_3sigma_coverage,ekf_vz_3sigma_coverage,ekf_theta_3sigma_coverage,ekf_bax_3sigma_coverage,ekf_baz_3sigma_coverage,ekf_bg_3sigma_coverage,ekf_rejected_updates,ekf_gps_accepted_updates,ekf_gps_rejected_updates,ekf_mean_gps_nis,ekf_mean_gps_normalized_nis,ekf_radar_accepted_updates,ekf_radar_rejected_updates,ekf_mean_radar_nis,ekf_mean_radar_normalized_nis,ekf_attitude_accepted_updates,ekf_attitude_rejected_updates,ekf_mean_attitude_nis,ekf_mean_attitude_normalized_nis,failure_mode,guidance_mode,navigation_mode,actuator_mode
0,1.021747048921407,0.9815693723646981,0.8599579726592079,0.9670791396028174,-3.7283639251913243,21.711472265787435,-1.0013969048126927,-57.4985453560074,0.6294058600313623,True,43.03999999999944,0.0,-1.3536139332294734,0.0,-1.3536139332294734,-0.0006613816798126575,-0.8145158142330281,0.8145160827518504,3940.9536083227795,2930.031998230108,1.4444324052213473,0.9429146494758529,1.7426225519132206,0.653655126526917,2,0.18420381417636358,0.07748584918919668,0.053914786427063766,0.046648883612798835,0.030317041154834568,5.635913351372931,10.941804581830674,1.0,0.9962894248608535,1.0,1.0,1.0,1.0,1.0,1.0,2,215,0,4.002607512282776,1.000651878070694,430,1,1.0406616626800997,1.0406616626800997,537,1,0.9647967221071059,0.9647967221071059,success,corridor,ekf,flight_like
1,1.0044274954929107,1.00719209587308,0.8919650454777588,0.8880330745260027,-9.453676896133793,15.452348469176286,-1.7662076855345763,-57.741115679387576,2.047060593257826,True,45.75999999999938,0.0,0.09555851739003664,0.0,0.09555851739003664,0.003454488716806235,-0.7715044205200157,0.7715121543917631,4174.184692251158,2876.1599788604035,2.047060593257826,0.6404102576464215,0.9530649692660675,0.7088453861347414,2,0.1398484205087175,0.07610427607794963,0.0538603302508042,0.04982840953392983,0.034664315485780854,5.628795797520813,10.148276097338588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,228,0,3.9669658217736834,0.9917414554434208,457,1,0.9826615305735086,0.9826615305735086,571,1,0.9765995249966853,0.9765995249966853,success,corridor,ekf,flight_like
2,1.0101013398003098,0.9633707345339922,1.005949241827155,1.123799373822537,-3.233323334683366,15.961074597566679,-1.728795532209996,-59.063478208349814,1.552205241539665,True,44.079999999999416,0.0,-1.1857361999634561,0.0,-1.1857361999634561,0.18290009442084543,-0.803616256880282,0.824167175311799,4004.5161160391253,2739.079025698822,1.5522052415396652,0.4924059894187958,0.8132990041578433,0.6490329416622099,2,0.18022551112480326,0.05621333193199419,0.056889183029807805,0.051740484181644585,0.037345211467328276,5.775565535556661,11.567133885332753,1.0,1.0,0.9963768115942029,1.0,1.0,1.0,1.0,1.0,2,220,0,3.9197708403422045,0.9799427100855511,440,1,1.100306694749793,1.100306694749793,550,1,1.0449857432188714,1.0449857432188714,success,corridor,ekf,flight_like
3,0.9936716677562735,0.9720821924047524,0.9574644735103708,0.9003265410908231,5.242382659854908,9.41532869785138,-2.3568664402854704,-56.71133815624142,-0.02637510328067364,True,44.639999999999404,0.0,-0.5316917202500328,0.0,-0.5316917202500328,0.16456969483295206,-0.7610332859816705,0.7786236875599599,4042.5643560675744,2762.0109907656915,2.539495200672318,2.1230286984648656,3.501538537847398,0.6355567422153335,4,0.12580512989082906,0.08421347059791402,0.04836684688837995,0.04794285388385429,0.02844368693363553,4.927647702830414,9.25308195332001,1.0,1.0,1.0,0.9946332737030411,1.0,1.0,1.0,1.0,4,223,0,3.660596930058315,0.9151492325145788,444,3,0.9584612649262128,0.9584612649262128,557,1,0.8600737251317793,0.8600737251317793,success,corridor,ekf,flight_like
4,0.9986939999118145,0.9567046241280568,1.0639449943462516,1.123233731720547,1.3778000540093096,32.492909137068914,-3.9073025034289772,-58.58559165922606,-0.27469754922308565,True,43.83999999999942,0.0,-1.5262452302650882,0.0,-1.5262452302650882,0.36316576662118505,-0.831190288134482,0.9070648648992179,3975.0613993884726,2721.870969507927,2.8743838876128143,0.6223988976904185,0.9731141008055934,0.6971645501383285,3,0.16642794207840406,0.06767636212986354,0.048876427075023814,0.05079157742329464,0.033600172687850705,5.446752037352531,11.930926223500068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,219,0,3.85480973135536,0.96370243283884,437,2,0.9349720720259452,0.9349720720259452,547,1,0.8868491290089259,0.8868491290089259,success,corridor,ekf,flight_like
5,1.0099549507844119,0.9866424140870823,0.9300879360964406,0.917221234227611,5.85917459652002,4.186085132664852,-1.0679695003166303,-57.70391138371572,1.5109997910405326,True,44.159999999999414,0.0,-0.6554778948872996,0.0,-0.6554778948872996,0.026594222686254148,-0.7379399597270491,0.7384190117015168,4031.2068165747696,2875.2900820348077,1.5130971627705798,0.5453743110793681,0.9732023398293577,0.7727334939048429,3,0.13409405439060965,0.07176613932537812,0.04907316974947504,0.04522241251397622,0.029439656095223973,6.234712566372742,9.793900749489392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,220,0,3.958450898247305,0.9896127245618263,440,2,0.9660073344295729,0.9660073344295729,551,1,0.9398108894190675,0.9398108894190675,success,corridor,ekf,flight_like
6,1.0128465944004987,0.9928738911321268,0.8795240608487201,0.9428708163448996,11.189465775597789,14.38895678711847,-2.638977907730319,-57.52116052808496,1.0081105308167189,True,43.91999999999942,0.0,-0.7515133608067012,0.0,-0.7515133608067012,0.17974957644974818,-0.7177634690348824,0.7399285828475965,4019.294073408084,2930.8231645168053,2.320038948689906,1.065421635815249,1.6239821611065026,0.6731605900802067,1,0.20039264290266348,0.0895741766305203,0.05283899985380629,0.05332074032097891,0.03224104721027884,5.970278892540983,12.342280857086283,1.0,0.9945454545454545,1.0,1.0,1.0,1.0,1.0,1.0,1,219,0,4.04715865005315,1.0117896625132874,439,1,0.9771243595789859,0.9771243595789859,549,0,1.0324524379952855,1.0324524379952855,success,corridor,ekf,flight_like
7,1.0033050995003159,0.9996992877613604,1.0520740175377399,1.087976292406594,-5.920294832528587,21.751409480140005,-3.9768900146095776,-57.52862963096395,1.7055160528138562,True,44.39999999999941,0.0,-0.1871115797490701,0.0,-0.1871115797490701,0.41147741211208394,-0.8419684536535733,0.9371363495384475,4058.1281997583574,2939.766814571165,3.4738885885159414,0.9747081936187152,1.41542695146668,0.6888863193057673,2,0.11604926938108576,0.07334182839636408,0.049575183619931025,0.05528472293500667,0.03127018527659007,4.516373695135479,9.03147905116217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,222,0,3.953054597612574,0.9882636494031435,444,1,0.9519220657993814,0.9519220657993814,554,1,0.947190252028885,0.947190252028885,success,corridor,ekf,flight_like
8,0.9846563702057628,1.0202694431133803,1.140669602884437,1.0908796753748982,17.53061580838028,10.195021405724749,-2.5425435585724387,-56.062634465871035,1.5097453360783495,True,45.35999999999939,0.0,2.989711408586598,0.0,2.989711408586598,0.13596337441311354,-0.7993019955000384,0.8107833984438408,4138.227465084925,3003.6586367087366,2.3961733540050125,1.3449207859856231,1.8080422768202353,0.738998805462197,2,0.14235474417170269,0.06182028011321197,0.05381561503189179,0.03972794869554423,0.031098644511669382,5.514633517616161,11.024987122559256,1.0,1.0,1.0,1.0,0.9964788732394366,1.0,1.0,1.0,2,226,0,3.814306809320468,0.953576702330117,452,2,1.075693440512186,1.075693440512186,567,0,0.9088273461389448,0.9088273461389448,success,corridor,ekf,flight_like
9,1.027369078671394,0.9622609419122248,0.9808954531735281,0.9389898190867925,3.0281709543068835,12.46119788535345,-5.113395289844556,-53.222743028344844,1.240349912444548,True,43.83999999999942,0.0,0.3704692248801046,0.0,0.3704692248801046,0.38332131008387943,-0.7601171372231509,0.8513009391893915,3947.2027648383228,2788.62382854725,5.277301941462895,3.1952584398771493,3.5825543722735556,0.6949857205458642,4,0.19435553523533503,0.08131632165087288,0.05608231910061496,0.054211988359268694,0.04036751975951177,6.701803024380612,12.75856948800909,1.0,0.9890710382513661,1.0,1.0,0.9981785063752276,1.0,1.0,1.0,4,219,0,3.9850680096465085,0.9962670024116271,438,1,0.867814006523334,0.867814006523334,545,3,0.8905696292869582,0.8905696292869582,success,corridor,ekf,flight_like
